2019-06-08 20:17:48,3.47 M,182.70 M,462.00 B,1.51 K
2019-06-08 20:17:50,3.47 M,182.70 M,0.00 B,492.00 B
2019-06-08 20:17:52,3.47 M,182.70 M,0.00 B,924.00 B
2019-06-08 20:17:54,3.47 M,182.71 M,0.00 B,444.00 B
2019-06-08 20:17:56,3.48 M,183.01 M,0.00 B,1.46 K
2019-06-08 20:17:58,3.48 M,183.01 M,0.00 B,1023.00 B
2019-06-08 20:18:00,3.49 M,183.33 M,7.57 K,325.29 K
2019-06-08 20:18:02,3.49 M,183.33 M,0.00 B,1.25 K
2019-06-08 20:18:04,3.49 M,183.33 M,0.00 B,324.00 B
2019-06-08 20:18:07,3.49 M,183.37 M,0.00 B,720.00 B
2019-06-08 20:18:09,3.49 M,183.37 M,0.00 B,816.00 B
2019-06-08 20:18:11,3.49 M,183.55 M,3.87 K,183.77 K
2019-06-08 20:18:14,3.49 M,183.55 M,0.00 B,600.00 B
2019-06-08 20:18:16,3.49 M,183.55 M,0.00 B,1.16 K
2019-06-08 20:18:19,3.50 M,183.56 M,0.00 B,1.01 K
2019-06-08 20:18:21,3.50 M,183.57 M,1.10 K,10.62 K
2019-06-08 20:18:24,3.50 M,183.57 M,0.00 B,552.00 B
2019-06-08 20:18:26,3.50 M,183.57 M,0.00 B,564.00 B
2019-06-08 20:18:28,3.50 M,183.64 M,2.33 K,70.81 K
2019-06-08 20:18:30,3.50 M,183.65 M,42.00 B,396.00 B
2019-06-08 20:18:32,3.50 M,183.65 M,0.00 B,336.00 B
2019-06-08 20:18:34,3.50 M,183.65 M,594.00 B,6.54 K
2019-06-08 20:18:36,3.50 M,183.66 M,0.00 B,708.00 B
2019-06-08 20:18:38,3.50 M,183.66 M,0.00 B,492.00 B
2019-06-08 20:18:40,3.51 M,183.86 M,4.64 K,207.05 K
2019-06-08 20:18:42,3.51 M,183.86 M,0.00 B,2.09 K
2019-06-08 20:18:44,3.51 M,183.86 M,0.00 B,1.01 K
2019-06-08 20:18:46,3.51 M,184.03 M,4.58 K,168.29 K
2019-06-08 20:18:48,3.51 M,184.03 M,0.00 B,1.16 K
2019-06-08 20:18:50,3.52 M,184.20 M,4.45 K,158.87 K
2019-06-08 20:18:52,3.52 M,184.20 M,0.00 B,276.00 B
2019-06-08 20:18:54,3.52 M,184.37 M,6.19 K,168.98 K
2019-06-08 20:18:56,3.52 M,184.37 M,0.00 B,735.00 B
2019-06-08 20:18:58,3.52 M,184.37 M,0.00 B,432.00 B
2019-06-08 20:19:00,3.53 M,184.55 M,0.00 B,13.28 K
